identificationNumber,Relationship,title,blob_uri,externalURL,rightsHolder_org,rightsHolder_person,publishTo
MR.ALBQ.677,46134,Global Positioner,http://www.publicartarchive.org/sites/default/files/485_01.jpg,,,Evelyn Rosenberg,Public Art Archive
MR.ALBQ.678,46134,Global Positioner,http://www.publicartarchive.org/sites/default/files/485_02.jpg,,,Evelyn Rosenberg,Public Art Archive
MR.ALBQ.679,46134,Global Positioner,http://www.publicartarchive.org/sites/default/files/485_03.jpg,,,Evelyn Rosenberg,Public Art Archive
MR.ALBQ.680,46134,Global Positioner,http://www.publicartarchive.org/sites/default/files/485_03_0.jpg,,,Evelyn Rosenberg,Public Art Archive
MR.ALBQ.681,46139,Clyde and Carrie Tingley,http://www.publicartarchive.org/sites/default/files/486_01.jpg,,,Betty Sabo,Public Art Archive
MR.ALBQ.682,46141,Wheels in Motion,http://www.publicartarchive.org/sites/default/files/487_01.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.683,46141,Wheels in Motion,http://www.publicartarchive.org/sites/default/files/487_02.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.684,46141,Wheels in Motion,http://www.publicartarchive.org/sites/default/files/487_03.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.685,46145,Marquee,http://www.publicartarchive.org/sites/default/files/488_01.jpg,,,Robert Woltman,Public Art Archive
MR.ALBQ.686,46147,Marquee Tiles,http://www.publicartarchive.org/sites/default/files/488.01_01.jpg,,,Maria Baca,Public Art Archive
MR.ALBQ.687,46147,Marquee Tiles,http://www.publicartarchive.org/sites/default/files/488.01_02.jpg,,,Maria Baca,Public Art Archive
MR.ALBQ.688,46147,Marquee Tiles,http://www.publicartarchive.org/sites/default/files/488.01_03.jpg,,,Maria Baca,Public Art Archive
MR.ALBQ.689,46151,Oneness of Dance,http://www.publicartarchive.org/sites/default/files/489_01.jpg,,,Bernadette Vigil,Public Art Archive
MR.ALBQ.690,46153,Bus Stop,http://www.publicartarchive.org/sites/default/files/490_01.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.691,46153,Bus Stop,http://www.publicartarchive.org/sites/default/files/490_02.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.692,46153,Bus Stop,http://www.publicartarchive.org/,,,Juan Navarrete,Public Art Archive
MR.ALBQ.693,46157,Carl von Hassler Mural Restoration,http://www.publicartarchive.org/sites/default/files/491_01.jpg,,,Carl von Hassler,Public Art Archive
MR.ALBQ.694,46159,Washington Bridge Design,http://www.publicartarchive.org/sites/default/files/492_01.jpg,,,Kevin Christman,Public Art Archive
MR.ALBQ.695,46161,"Shared Traditions: Mind, Body & Spirit: Hispanic Perspective",http://www.publicartarchive.org/sites/default/files/494_01.jpg,,,Norman Pacheco,Public Art Archive
MR.ALBQ.696,46161,"Shared Traditions: Mind, Body & Spirit: Hispanic Perspective",http://www.publicartarchive.org/sites/default/files/494_02.jpg,,,Norman Pacheco,Public Art Archive
MR.ALBQ.697,46161,"Shared Traditions: Mind, Body & Spirit: Hispanic Perspective",http://www.publicartarchive.org/sites/default/files/494_03.jpg,,,Norman Pacheco,Public Art Archive
MR.ALBQ.698,46165,Neighborhood Park Mural,http://www.publicartarchive.org/sites/default/files/496_01.jpg,,,Richard Wasilewski,Public Art Archive
MR.ALBQ.699,46165,Neighborhood Park Mural,http://www.publicartarchive.org/sites/default/files/496_02.jpg,,,Richard Wasilewski,Public Art Archive
MR.ALBQ.700,46168,Yaman I,http://www.publicartarchive.org/sites/default/files/501_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.701,46170,Timur,http://www.publicartarchive.org/sites/default/files/502_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.702,46172,H.G. 4,http://www.publicartarchive.org/sites/default/files/503_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.703,46174,"Untitled, 73.120",http://www.publicartarchive.org/sites/default/files/504_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.704,46176,"Untitled, 12.74",http://www.publicartarchive.org/sites/default/files/505_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.705,46178,Pennant,http://www.publicartarchive.org/sites/default/files/506_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.706,46180,Double Cross,http://www.publicartarchive.org/sites/default/files/507_01.jpg,,,Garo Antreasian,Public Art Archive
MR.ALBQ.707,46182,Untitled Don Quixote Sketch,http://www.publicartarchive.org/sites/default/files/508_01.jpg,,,Nick Abdalla,Public Art Archive
