refName,displayName,shortIdentifier
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(animal_resistant)'animal resistant',animal resistant,animal_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(bacterial_resistant)'bacterial resistant',bacterial resistant,bacterial_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(chemical_resistant)'chemical resistant (acid and alkaline)',chemical resistant (acid and alkaline),chemical_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(corrosion_resistant)'corrosion resistant',corrosion resistant,corrosion_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(dimensionally_stable)'dimensionally-stable',dimensionally-stable,dimensionally_stable
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(emi_interference)'electromagnetic interference (EMI)',electromagnetic interference (EMI),emi_interference
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(fade_resistant)'fade resistant',fade resistant,fade_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(fire_resistant)'fire resistant',fire resistant,fire_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(freeze_thaw_resistant)'freeze/thaw resistant',freeze/thaw resistant,freeze_thaw_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(fungal_resistant)'fungal resistant',fungal resistant,fungal_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(heat_resistant)'heat resistant',heat resistant,heat_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(impact_resistant)'impact resistant',impact resistant,impact_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(lightfastness)'lightfastness',lightfastness,lightfastness
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(rf_shielding)'radio frequency shielding',radio frequency shielding,rf_shielding
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(shock_damping)'shock-damping',shock-damping,shock_damping
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(stain_resistant)'stain resistant',stain resistant,stain_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(tear_resistant)'tear resistant',tear resistant,tear_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(uv_resistant)'UV resistant',UV resistant,uv_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(waterproof)'waterproof',waterproof,waterproof
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(water_repellent)'water-repellent',water-repellent,water_repellent
